price,Sales,Discount,Profit
38.94,261.54,0.04,-213.25
208.16,10123.02,0.07,457.81
8.69,244.57,0.01,46.71
195.99,4965.7595,0.08,1198.97
21.78,394.27,0.08,30.94
6.64,146.69,0.05,4.43
7.3,93.54,0.03,-54.04
42.76,905.08,0.09,127.7
138.14,2781.82,0.07,-695.26
4.98,228.41,0.07,-226.36
4.28,196.85,0.01,-166.85
3.95,124.56,0.04,-14.33
21.78,716.84,0,134.72
47.98,1474.33,0.04,114.46
5.28,80.61,0.02,-4.72
39.89,1815.49,0.03,782.91
15.74,248.26,0.07,93.8
100.98,4462.23,0.04,440.72
71.37,663.784,0.25,-481.04
65.99,834.904,0.06,-11.68
155.99,2480.9205,0.01,313.58
3.69,59.03,0.1,26.92
4.71,97.48,0.05,-5.77
15.99,511.83,0.1,-172.88
4.89,184.99,0.05,-144.55
2.88,80.9,0.09,5.76
2.84,67.24,0.06,4.9
449.99,12028.23,0.01,-547.61
13.48,370.48,0.04,-5.45
6.08,278,0.08,41.67
5.98,66.54,0.01,-46.03
40.99,845.32,0.06,33.67
7.31,282.07,0.03,140.01
20.99,426.037,0.01,-78.96
40.96,1078.49,0.08,252.66
95.95,3554.46,0.07,-1766.01
3.89,191.67,0,-236.27
120.98,5586.33,0.09,80.44
30.98,507.64,0.1,118.94
500.98,14223.82,0.09,3424.22
7.84,42.66,0.06,-11.83
18.97,427.32,0,52.35
115.99,820.284,0,-180.2
2.88,14.76,0.01,1.32
4.48,89.55,0.06,-375.64
125.99,1210.0515,0.04,-104.25
3.75,187.83,0.03,85.96
12.28,49.59,0.07,-8.38
155.99,4253.009,0.01,1115.69
8.69,59.38,0.1,-3.05
31.78,1285.37,0.1,514.07
3.98,48.91,0.01,-7.04
5.88,129.62,0.05,4.41
9.65,118.97,0.09,-0.06
7.99,61.8715,0,-50.33
58.1,384.33,0.1,87.68
80.48,239.03,0.01,-68.22
92.23,3922.42,0.08,-354.9
85.99,1733.3625,0.07,-267.01
11.48,208.28,0.07,3.63
1637.53,9620.82,0.04,-1759.58
6.48,255.48,0.04,-116.79
6.48,130.32,0.04,-67.28
28.15,312.36,0.07,-19.33
4.98,217,0.01,-61.21
6.35,296.13,0.04,119.09
10.9,436.17,0.08,-141.27
7.3,136.29,0.05,-77.28
39.48,1311.25,0,407.44
100.98,544.41,0.09,-338.27
19.98,844.09,0.04,52.56
276.2,6396.2,0.02,1902.24
15.67,751.77,0.05,353.2
25.98,1003.06,0.03,271.78
300.98,1266.72,0.04,-268.36
19.98,368.04,0.07,70.39
6.48,152.6,0.1,-86.62
80.98,3338.98,0,-846.73
1.88,24.16,0.08,8.05
6.48,270.84,0.1,-78.02
102.3,3389.93,0.08,737.94
6.48,266.36,0.07,-191.28
1.89,89.41,0.01,-21.49
62.05,2799.7,0.04,884.08
279.48,2039.56,0.04,-329.49
320.98,12175.82,0.02,2825.15
18.97,101.21,0.1,2.13
48.91,1585.64,0.02,707.15
4.13,176.26,0.07,75.13
140.98,4655.07,0,-270.63
218.08,10087.6,0.01,3387.35
50.98,1608.08,0.09,-82.16
10.14,12.18,0.06,-3.88
15.99,820.52,0.01,-191.22
262.11,6250.936,0.01,31.21
33.98,854.88,0.09,-44.14
1.76,80.27,0.09,-0.79
19.84,308.54,0,76.42
19.98,400.57,0.05,93.36
95.99,1170.025,0.04,4.22
111.03,5188.86,0.1,395.12
43.41,339.81,0.05,79.59
105.34,1519.9,0.09,399.37
3.69,102.24,0.09,37.79
146.34,965.69,0,-144.2
15.22,397.84,0,-14.75
15.7,73.07,0.08,-41.01
179.29,4679.1,0.05,111.52
200.99,8009.5925,0.02,2332.4
194.3,4689.66,0.01,2176.19
120.97,3019.41,0.04,1269.05
5.81,36.86,0.07,-32.82
1938.02,22079.47,0.06,5322.14
226.67,5407.31,0.04,1068.48
2.08,74.3,0.08,-129.01
499.99,21506.77,0.06,1260.51
20.98,669.02,0.02,-1274.02
30.53,1143.49,0.08,-193.44
1.68,78.08,0.01,-43.1
270.98,5297.47,0.02,-158.93
4.48,95.3,0,29.68
10.9,460.68,0.01,-116.76
7.99,318.7585,0.1,-160.95
21.66,1020.61,0.04,-209.61
6.48,268.34,0.09,-240.83
35.44,209,0.08,12.32
15.99,501.32,0.04,-119.08
11.34,275.16,0.05,43.35
35.44,1302.99,0.02,545.49
30.98,40.1,0.09,-16.07
34.54,1414.05,0.09,161.48
170.98,5350.61,0.09,-1059.2
20.95,310.87,0.07,-21.48
207.48,9062.73,0.09,3122.78
58.14,1584.1,0.07,-478.22
6.64,283.58,0.03,-14.23
145.45,5403.37,0.06,948.79
2.21,82.15,0.03,-6.33
40.99,2066.16,0.02,372.36
243.98,4605.36,0.02,678.26
39.98,1753.51,0.02,155.72
12.58,426.34,0,73.53
48.58,1837.44,0.01,-1414.41
105.98,3722.29,0.04,950.68
7.04,28.05,0.09,-5.41
9.78,311.44,0.04,74.07
12.22,215.65,0.01,77.38
43.98,121.12,0.1,-118.82
34.76,300.2,0,6.41
55.99,1364.8025,0.07,-183.68
6.48,128.21,0.05,-55.13
30.56,252.79,0.09,58.23
5.16,50.97,0.09,4.45
3.68,4.99,0.04,-3.06
355.98,10554.63,0.09,1240.25
218.75,1749.64,0.04,-533.23
41.47,1943.72,0.03,-1003.58
